warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
    90 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    91 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    92 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    93 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    94 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    95 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    96 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
    97 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
    98 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
    99 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   100 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   101 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   102 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   103 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   104 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   105 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   106 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   107 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   108 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   109 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   110 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   111 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   112 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   113 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   114 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   115 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   116 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   117 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   118 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   119 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   120 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   121 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   122 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   123 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
