1	A8028160	8028160	0x7fbd9da00000	0x171000000	?	?
1	A10485760	10485760	0x7fbd9ce00000	0x173800000	A8028160	0x171000000
2	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
2	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
2	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
2	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
2	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
2	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
2	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
2	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
2	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
2	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
3	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
3	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
3	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
3	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
3	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
3	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
3	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
3	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
3	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
3	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
4	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
4	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
4	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
4	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
4	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
4	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
4	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
4	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
4	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
4	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
5	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
5	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
5	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
5	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
5	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
5	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
5	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
5	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
5	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
5	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
6	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
6	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
6	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
6	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
6	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
6	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
6	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
6	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
6	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
6	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
7	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
7	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
7	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
7	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
7	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
7	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
7	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
7	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
7	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
7	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
8	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
8	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
8	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
8	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
8	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
8	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
8	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
8	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
8	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
8	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
9	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
9	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
9	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
9	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
9	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
9	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
9	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
9	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
